releaseYear,lifetime_gross,imdb_averageRating,studio
1999,245852179,7.9,BV
1999,56709981,6.6,BV
1998,94095523,6.8,Sony
1998,70187658,6.4,Par.
1999,28544120,5.5,Par.
1998,40002112,4.7,Sony
2001,45512588,7.7,BV
2001,84056472,6.9,BV
2001,58203105,6.7,Sony
2002,104454762,7.7,DW
2001,3313583,5.3,Par.
2002,336620,6.3,WB
2003,28082366,6.2,Uni.
2002,91047077,5.5,Uni.
2002,69599016,6.1,WB
2003,32551396,5.0,SonR
2002,38082712,5.5,WB
2001,87044645,7.0,Uni.
2003,52802140,6.6,BV
2002,139236327,5.7,BV
2003,110003217,5.5,Dim.
2002,14307963,3.7,WB
2003,20305251,6.3,Fox
2003,48462608,6.8,Uni.
2004,16328471,5.5,WB
2003,34432201,5.2,WB
2004,133378256,7.3,WB
2005,60062868,6.3,Fox
2004,17001133,6.3,Uni.
2004,173008894,6.9,BV
2004,32786074,7.2,Par.
2007,292137260,7.5,WB
2004,13399812,6.2,Par.
2004,21009180,6.1,Fox
2007,97822171,6.8,BV
2006,38399961,6.5,Par.
2006,38432823,7.1,Sony
2006,58645052,4.5,SonR
2006,7022827,6.1,Sony
2006,7802450,6.5,Uni.
2005,82571173,5.5,Fox
2006,163566459,8.0,Sony
2007,13235267,3.2,SonR
2006,70278893,6.0,Par.
2011,142614158,5.4,Sony
2012,49876377,5.9,Fox
2007,38634938,7.6,Par.
2007,13756082,7.8,WB
2008,100468793,6.9,Sony
2007,18317151,6.8,Sony
2006,35818913,7.8,DW
2009,17017811,7.5,Sum.
2008,44089964,6.2,WB
2015,80080379,6.3,Sony
2010,53374681,6.5,WB
2012,304360277,7.8,Sony
2009,75590286,7.6,Sony
2009,166112167,5.8,Sony
2016,232641920,7.5,BV
2010,42779261,4.9,Fox
2010,30212620,5.4,Sony
2012,139854287,6.2,Fox
2014,19075290,5.1,LGF
2010,52000688,6.4,Fox
2012,18620000,6.6,LG/S
2018,137690172,7.4,WB
2013,368061265,7.3,Uni.
2013,90288712,5.7,BV
2012,85028192,6.6,LGF
2013,60522097,4.8,Sony
2018,700059566,7.3,BV
2014,83350911,6.6,Fox
2014,333176600,8.0,BV
2015,44482410,7.4,BV
2014,128002372,5.9,BV
2015,26461644,6.6,WB
2016,486295561,7.2,BV
2015,22764410,4.2,WB (NL)
2014,39322544,6.1,LGF
2016,48390190,6.1,Uni.
2016,57682904,7.2,Par.
2016,63285885,5.4,Uni.
2015,353007020,7.1,Uni.
2015,184296230,6.4,Uni.
2016,91221830,5.9,Uni.
2016,3400278,6.9,Par.
2016,141843612,7.4,Dis.
2016,36880033,6.3,Sony
