releaseMonth,lifetime_gross,imdb_averageRating
10,4702420,6.9
1,35423380,4.7
3,6874837,6.2
11,43047372,6.4
6,1110522,6.1
2,7885294,6.4
4,20591853,6.2
7,252,3.7
1,18095701,7.8
1,81903458,7.2
9,58236838,6.9
4,138614544,7
5,12562,8.2
8,183417150,6.5
3,592237,8.3
10,141843612,7.6
10,5835247,7.8
5,44527234,7.6
3,149260504,7.2
6,5200000,7.6
3,2437000,6.6
7,70334258,6.6
10,45000000,7
9,125493,7.9
6,260000000,8.1
6,50750000,7.4
12,85196485,6.3
10,35000000,7.5
2,22743674,6.3
4,34343574,6.5
12,101300000,6.7
6,54812802,6.7
3,11492915,7.4
12,27150534,6.1
9,12534817,5.6
10,14400000,5.1
4,5979292,6.6
6,90404800,7.5
6,16595791,6.5
12,26186631,5.4
8,40874452,6.6
8,1420355,6.5
4,27398584,6.1
12,12303411,6.8
8,18707466,6.8
10,52293982,7
3,40084041,7.8
12,4711220,3.9
2,277646,7.1
5,4600000,6.9
6,6855137,6.5
3,17185632,7.2
3,4398938,7.8
6,18753438,6.1
3,5228617,6.9
8,3769990,6.9
8,35509515,7.1
6,40050884,6.6
2,18553948,7
7,78222753,5.9
6,5680515,7.2
10,14543394,7.7
12,41292551,6
12,111938388,6.1
3,2692037,6.3
3,31906454,7.4
11,1541218,7.5
8,100047830,7.1
2,10982364,5.9
8,61489265,6.5
12,91457688,6.2
11,2060847,6.6
8,16247964,5.9
11,27931461,6.8
12,2075084,6.7
3,135265915,6.8
6,46704056,6.6
1,88036683,6.7
10,53710019,6.5
2,6742168,6.4
5,1829804,5.4
7,36299898,6.1
1,36733909,7.1
1,8041049,6
11,36948322,7.9
2,3275585,6.6
9,24107867,5.8
7,7266973,7
9,163971,5.9
4,1596687,5.1
12,1007583,6.4
2,527034,7.4
7,37939757,6.4
4,638645,7.3
4,2302338,7.8
11,16928556,6.7
4,65807024,6.8
12,10017322,5.7
12,76594107,6.1
11,106429941,7.2
4,35348597,6.9
3,3730409,5.1
11,6468498,7
12,2684904,7.3
3,12096881,6.4
4,912082,5.3
11,191796233,8.3
9,7929434,6.7
5,12504289,6
11,7343114,6.8
12,33023469,5.9
8,22231658,6.6
10,409144,6.9
10,33447612,6.8
7,9499091,7.7
8,9538948,6
3,24444121,8
8,2491989,4.3
2,6330054,6.9
3,2738980,8.1
11,496059,7.1
1,5980578,7
5,26528185,6.8
5,537948,6.6
8,44862187,7
5,676631,6.7
1,5571205,6.9
4,77910,5.7
12,1798862,5.8
4,61363304,6.2
7,656747,6.7
11,245852179,7.9
11,334319,6.7
8,70087718,7.1
1,56709981,6.6
7,94095523,6.8
12,70187658,6.4
4,28544120,5.5
11,40002112,4.7
3,21521,5.1
3,15164492,6.1
6,206040086,6.6
2,558598,8
8,2092682,7.6
2,5142576,6
2,45512588,7.7
9,359050,7
12,77812000,7.5
6,84056472,6.9
7,156818,7.8
5,5529144,7.7
3,2901447,7.7
11,7504257,7.5
3,37950822,5.6
8,416925,7.1
12,58203105,6.7
7,96520674,6.4
11,517872,7
7,104454762,7.7
6,3313583,5.3
4,26736098,6
10,336620,6.3
11,33236,7.1
7,28082366,6.2
4,91047077,5.5
3,86959,6.4
6,69599016,6.1
1,32551396,5
3,38082712,5.5
5,87044645,7
10,201546,7.5
8,22219192,5.2
12,92770,6.4
1,52802140,6.6
4,216335,7.6
9,647054,6.8
11,139236327,5.7
10,110003217,5.5
9,14307963,3.7
5,20305251,6.3
12,48462608,6.8
4,17871255,5.8
4,16328471,5.5
4,34432201,5.2
2,5001708,5.6
5,133378256,7.3
1,34837,7.6
11,564632,7.5
8,13456633,6.6
9,4670644,7.2
12,60062868,6.3
3,23630159,4.5
12,52411906,5.8
9,17001133,6.3
10,10411980,5.8
9,153859,8.3
10,1985292,6.4
11,173008894,6.9
3,2104923,8
3,18535812,4.3
10,32786074,7.2
7,292137260,7.5
9,82936,6.3
11,13399812,6.2
6,7749851,7.9
12,21009180,6.1
4,3826280,6.4
3,156000,6.7
5,305800,6.4
7,209255921,7
3,97822171,6.8
2,6003227,8
10,684118,8
1,38399961,6.5
10,461572,7.5
9,38432823,7.1
10,241914,7.9
8,32886940,5.3
4,22495466,7.7
7,49034,5.8
2,35374833,5.3
7,58645052,4.5
9,1048950,6.4
10,7022827,6.1
3,7802450,6.5
8,7836393,5.9
8,1060922,6.2
12,82571173,5.5
12,163566459,8
2,14056,6.8
1,4775656,3.8
8,13235267,3.2
4,25037897,7.5
8,70278893,6
7,142614158,5.4
1,49876377,5.9
8,38634938,7.6
1,176647,7.9
9,18445,5.4
6,24146161,7.4
2,13756082,7.8
3,12550605,5.5
9,15084,7.8
2,7800824,7.9
4,5488570,7.5
7,100468793,6.9
12,18317151,6.8
11,35818913,7.8
7,17017811,7.5
9,50659,6.1
8,44089964,6.2
1,2701859,7.3
12,82584160,7.3
4,122082,5.9
8,617334,6.6
10,80080379,6.3
10,53374681,6.5
11,304360277,7.8
8,4886216,6.3
9,70066,6.4
10,75590286,7.6
11,166112167,5.8
10,7013191,4
10,4115,6.5
11,232641920,7.5
12,42779261,4.9
12,30212620,5.4
7,15436808,7
2,10938134,5.8
5,105095,6.3
10,139854287,6.2
12,311434,7.5
1,19075290,5.1
7,52000688,6.4
8,143979,6.7
11,21087,6.3
1,18620000,6.6
3,4269426,6.4
3,137690172,7.4
7,368061265,7.3
8,90288712,5.7
4,103536,6.1
4,6075,5.4
6,1636190,6.7
8,85028192,6.6
1,177802,6.9
5,60522097,4.8
2,700059566,7.3
1,6002684,6.3
8,2432,5.5
9,41003371,7.6
11,83350911,6.6
8,333176600,8
2,44482410,7.4
12,128002372,5.9
3,26461644,6.6
6,65182182,5.7
8,2553002,7.1
6,486295561,7.2
7,22764410,4.2
8,39322544,6.1
4,48390190,6.1
5,9221,6.1
4,27695246,6.5
7,4946445,7.4
12,57682904,7.2
4,63285885,5.4
2,44903,6.7
4,353007020,7.1
5,184296230,6.4
1,91221830,5.9
8,10539326,6.5
10,32381217,7.8
12,2679437,7
4,3400278,6.9
4,141843612,7.4
9,1178196,6.7
4,229094,6.9
2,36880033,6.3
10,84273813,5.4
5,78372,6.7
2,32187017,5.6
12,54117416,7.8
11,1872994,6.9
10,36336,4.9
11,82703,7.3
8,26822144,6
10,208023,6.5
8,67132,6.7
7,702354,7.1
1,12786053,7.2
9,23020,5.7
12,60323786,6.2
12,2653032,5.9
2,177331,4
7,86089513,3.4
12,63859435,7.3
7,2129768,7.6
12,1404061,6.2
6,3448256,7.1
12,100138851,7.8
9,76408097,7.7
6,89325780,7.1
10,53672080,7.6
2,19910002,7.7
2,100214,7.8
9,52223306,7.3
9,102308889,8
12,18344729,7.1
12,86273333,8
11,108981275,8.7
4,32211330,7.3
2,28262574,8.2
6,29000000,5.6
11,39588000,6.3
3,21671241,6.5
12,24946533,7.4
12,27107960,6.5
4,34967437,7.3
5,50427646,6.8
12,26154211,5
3,12376625,6.6
12,35856053,6.7
9,2257307,7.3
5,42313354,6.4
11,24746,7
3,21689062,5.9
9,36403064,6.6
2,18644570,5.8
8,12145169,6.3
6,153083102,7.3
11,4994094,5.5
2,27187653,7.3
3,14972297,5.1
9,9708373,7
8,12952019,6.9
11,390659,6.5
2,1083486,7.4
11,6880310,5.4
6,59735548,7.8
10,32078318,7.1
7,11798302,3.8
8,21486757,6.2
1,34603943,7.8
12,19131246,6
4,10166459,5
7,27545445,8
11,111543479,7.6
5,30050028,6.7
9,58571513,6.8
12,15351421,5.7
11,1132112,7
7,21413502,6.4
6,19740070,5.6
3,1823154,3.9
2,4011793,7.1
8,11541758,7.2
8,54830779,6.3
12,119654823,6.8
3,7788597,5.8
2,5418216,7.1
5,40693477,5.8
2,28590665,5.9
11,173585516,6.8
11,48169910,7.7
10,50752337,6.5
10,3067917,6.5
8,48017402,6.4
1,17957265,6.1
2,799856,7.7
7,63179523,6.2
7,16827402,6.2
5,42614912,5.5
3,24361867,7.4
12,127175374,7.3
12,2332728,8.3
3,16821273,5.5
8,18137661,5.6
12,33683817,6.5
3,38824341,6.7
11,144833357,6.5
2,2079569,7.3
11,9771658,6.4
10,30303072,6.3
3,1400591,7.8
3,23389975,6.6
9,13071518,6.9
1,1026646,6.4
3,19699706,5.2
5,2832826,6
10,7027517,6.1
8,2875086,6.4
7,15094530,5.2
2,560069,6.9
10,3802260,7.3
5,956919,6.4
9,3124440,5.4
5,20080020,5.3
10,26459,7.4
9,660313,6.7
10,1408575,7.3
3,294212,6.4
2,12803305,6.7
4,10580,6.7
10,749741,7.1
9,50935,6.8
12,44229441,7.3
7,450594,7.8
10,5906773,6.4
11,14842388,7.2
10,6492660,6.4
3,12479335,7.3
4,4529843,4.5
5,194201,6.5
4,23047939,5.8
4,49323468,5.5
11,161491646,6.1
11,5078660,6.3
10,22852487,6
11,111549836,7.3
8,3753929,8.1
3,56968902,6.5
2,5878911,6.1
10,40584421,7.5
10,2198044,6.5
4,2172941,4
2,80245725,6.9
6,22753426,6.6
9,35188640,6.6
6,34105207,6.5
9,22912409,7.3
12,135026902,6.8
7,24756177,7.2
5,3146,6.9
11,5596708,8
2,36050230,4.8
5,139692,6.9
3,6291602,5.6
5,56569702,6.9
10,626164,6.5
8,90464773,6.5
1,13305101,5.7
11,36805288,5.8
2,10424470,5.4
10,13572400,5.7
11,289916256,8.1
5,200920,7.7
9,17008282,6.3
7,6946056,7.3
7,747092,6.1
10,14967182,5.1
9,115654751,7.8
12,4725,5.3
8,236185,7.1
12,450594,7.1
12,32598931,6.3
8,38182790,6.8
1,741394,6.4
10,11663156,5.4
7,43061982,6.2
10,3090862,7
9,55001642,6.3
9,378176,6.4
6,145794338,7.3
2,48430258,5.8
2,3095506,5.4
1,97220,6.6
1,213137,6.9
10,16357770,7.1
11,14118751,6.9
8,23124,6.8
10,30113491,5.6
6,45064915,7.5
1,51268815,7.2
1,497208,5.8
11,2063196,6.6
1,56127162,5.5
11,11242801,7
5,735992,6.6
4,7491839,5.5
1,16290476,7.6
2,7564459,8.6
5,104297061,5.6
1,8291572,6.9
7,305413918,8.1
8,19184820,5.4
10,4067,7.5
11,75847266,5.2
8,217201,7.8
